visibility,year,pct
High visibility,2007-03-01,0.25582687928976694
High visibility,2008-03-01,0.30399883095041147
High visibility,2009-03-01,0.33206601782548717
High visibility,2010-03-01,0.38987151111544954
High visibility,2011-03-01,0.39150074510735133
High visibility,2012-03-01,0.38368080160422724
High visibility,2013-03-01,0.3360331871257127
High visibility,2014-03-01,0.322934618151172
High visibility,2015-03-01,0.29325650447199886
High visibility,2016-03-01,0.2678834377093495
High visibility,2017-03-01,0.2196711901412731
High visibility,2018-03-01,0.20659139101707943
High visibility,2019-03-01,0.1598487913729429
High visibility,2020-03-01,0.15445061503542198
High visibility,2023-03-01,0.1406715276241494
Medium visibility,2007-03-01,0.34459350839436
Medium visibility,2008-03-01,0.3514762114292688
Medium visibility,2009-03-01,0.35657951706199625
Medium visibility,2010-03-01,0.33707213434775973
Medium visibility,2011-03-01,0.35419124695954596
Medium visibility,2012-03-01,0.3600935316215829
Medium visibility,2013-03-01,0.39137813301416685
Medium visibility,2014-03-01,0.398197198292169
Medium visibility,2015-03-01,0.406091250733724
Medium visibility,2016-03-01,0.38983189212973884
Medium visibility,2017-03-01,0.38891991732489084
Medium visibility,2018-03-01,0.37240954757147754
Medium visibility,2019-03-01,0.3670693404899572
Medium visibility,2020-03-01,0.3609693453642591
Medium visibility,2023-03-01,0.35662896423039214
Low visibility (Never),2007-03-01,0.39957961231587297
Low visibility (Never),2008-03-01,0.3445249576203197
Low visibility (Never),2009-03-01,0.3113544651125166
Low visibility (Never),2010-03-01,0.2730563545367906
Low visibility (Never),2011-03-01,0.2543080079331028
Low visibility (Never),2012-03-01,0.25622566677418984
Low visibility (Never),2013-03-01,0.27258867986012075
Low visibility (Never),2014-03-01,0.2788681835566588
Low visibility (Never),2015-03-01,0.3006522447942772
Low visibility (Never),2016-03-01,0.3422846701609116
Low visibility (Never),2017-03-01,0.39140889253383593
Low visibility (Never),2018-03-01,0.42099906141144283
Low visibility (Never),2019-03-01,0.4730818681371
Low visibility (Never),2020-03-01,0.4845800396003191
Low visibility (Never),2023-03-01,0.5026995081454586
