year,deflator
1988-07-01,0.481764705882353
1989-07-01,0.5095882352941177
1990-07-01,0.5505882352941177
1991-07-01,0.5916470588235294
1992-07-01,0.6188235294117647
1993-07-01,0.6346470588235295
1994-07-01,0.6487647058823529
1995-07-01,0.666235294117647
1996-07-01,0.6852352941176472
1997-07-01,0.7002941176470588
1998-07-01,0.7130588235294119
1999-07-01,0.7255882352941176
2000-07-01,0.7341764705882353
2001-07-01,0.7454705882352941
2002-07-01,0.7567647058823529
2003-07-01,0.7671176470588235
2004-07-01,0.7778235294117647
2005-07-01,0.7940588235294118
2006-07-01,0.8135882352941176
2007-07-01,0.8329411764705883
2008-07-01,0.8622941176470588
2009-07-01,0.8791764705882353
2010-07-01,0.9011764705882354
2011-07-01,0.9358235294117647
2012-07-01,0.96
2013-07-01,0.982
2014-07-01,0.9962352941176471
2015-07-01,0.9999411764705883
2016-07-01,1.01
2017-07-01,1.0358235294117646
2018-07-01,1.0595882352941175
2019-07-01,1.0779411764705882
2020-07-01,1.0887647058823529
2021-07-01,1.1161176470588234
2022-07-01,1.2045294117647058
2023-07-01,1.2863529411764705
2024-07-01,1.3135
