code,name,year,score
E23000013,Cleveland,2003,19.664411273748776
E23000013,Cleveland,2004,19.4923029704368
E23000013,Cleveland,2005,17.08031470316475
E23000013,Cleveland,2006,16.786224458932892
E23000013,Cleveland,2007,14.98683380470825
E23000013,Cleveland,2008,13.907576309411454
E23000013,Cleveland,2009,10.95893951684996
E23000013,Cleveland,2010,10.035281704601934
E23000013,Cleveland,2011,9.402867692146485
E23000013,Cleveland,2012,9.492859206298178
E23000013,Cleveland,2013,9.038332458951325
E23000013,Cleveland,2014,8.641664147185724
E23000013,Cleveland,2015,10.334679587252838
E23000013,Cleveland,2016,12.233595998468951
E23000013,Cleveland,2017,12.718206096417545
E23000013,Cleveland,2018,16.08481812188599
E23000013,Cleveland,2019,17.226474229067072
E23000013,Cleveland,2020,18.294778126760963
E23000013,Cleveland,2021,17.880833321140162
E23000013,Cleveland,2022,21.73830664773928
E23000013,Cleveland,2023,26.00274490220074
E23000008,Durham,2003,9.428587996647142
E23000008,Durham,2004,9.207583168530551
E23000008,Durham,2005,8.886860679521467
E23000008,Durham,2006,11.149389319758697
E23000008,Durham,2007,10.072201795393175
E23000008,Durham,2008,9.644768484416288
E23000008,Durham,2009,8.572111867992888
E23000008,Durham,2010,8.10113307710237
E23000008,Durham,2011,7.1479916275690565
E23000008,Durham,2012,6.679915197593562
E23000008,Durham,2013,5.862195474108451
E23000008,Durham,2014,7.165474880341606
E23000008,Durham,2015,7.762310218683757
E23000008,Durham,2016,8.736314799957135
E23000008,Durham,2017,10.203210488371436
E23000008,Durham,2018,14.557411677292224
E23000008,Durham,2019,14.162623543245337
E23000008,Durham,2020,13.99233122270774
E23000008,Durham,2021,12.299746625782745
E23000008,Durham,2022,14.163536152657992
E23000008,Durham,2023,15.321965298299947
E23000007,Northumbria,2003,14.486231317008107
E23000007,Northumbria,2004,14.43969430356529
E23000007,Northumbria,2005,12.549807535563158
E23000007,Northumbria,2006,11.482981931200502
E23000007,Northumbria,2007,11.068461175625012
E23000007,Northumbria,2008,9.103018509210363
E23000007,Northumbria,2009,8.088495818381114
E23000007,Northumbria,2010,7.203379679912634
E23000007,Northumbria,2011,6.824820026863195
E23000007,Northumbria,2012,6.237140354880377
E23000007,Northumbria,2013,5.772195348251348
E23000007,Northumbria,2014,6.2321377577889
E23000007,Northumbria,2015,7.984239361720849
E23000007,Northumbria,2016,9.821000028343722
E23000007,Northumbria,2017,11.712055225320455
E23000007,Northumbria,2018,14.611656606844655
E23000007,Northumbria,2019,15.55027429909447
E23000007,Northumbria,2020,14.63804480335773
E23000007,Northumbria,2021,13.476511259918865
E23000007,Northumbria,2022,15.27924158294837
E23000007,Northumbria,2023,16.462552557730245
E23000006,Cheshire,2003,10.550721872580244
E23000006,Cheshire,2004,10.818372116210572
E23000006,Cheshire,2005,9.73656301537909
E23000006,Cheshire,2006,11.57663696205886
E23000006,Cheshire,2007,10.279295729368679
E23000006,Cheshire,2008,8.898231120156467
E23000006,Cheshire,2009,8.099058169645389
E23000006,Cheshire,2010,7.937398308511177
E23000006,Cheshire,2011,7.203076426320587
E23000006,Cheshire,2012,6.760013642658509
E23000006,Cheshire,2013,6.4919497144846545
E23000006,Cheshire,2014,6.9475209436323455
E23000006,Cheshire,2015,7.056507355769006
E23000006,Cheshire,2016,7.334716087224135
E23000006,Cheshire,2017,8.35503863776561
E23000006,Cheshire,2018,11.502378048893384
E23000006,Cheshire,2019,12.521565257266069
E23000006,Cheshire,2020,12.80044289120305
E23000006,Cheshire,2021,12.188086953453595
E23000006,Cheshire,2022,13.906183292779199
E23000006,Cheshire,2023,13.532009626757521
E23000002,Cumbria,2003,8.227185896079034
E23000002,Cumbria,2004,8.640752614157636
E23000002,Cumbria,2005,8.941699694349873
E23000002,Cumbria,2006,8.363448586338025
E23000002,Cumbria,2007,7.2142989970265665
E23000002,Cumbria,2008,6.601130141067345
E23000002,Cumbria,2009,5.667215041621647
E23000002,Cumbria,2010,5.4913162354603235
E23000002,Cumbria,2011,5.836497721446946
E23000002,Cumbria,2012,5.146877205105238
E23000002,Cumbria,2013,5.242663180821918
E23000002,Cumbria,2014,5.652083750415182
E23000002,Cumbria,2015,6.509858776087086
E23000002,Cumbria,2016,7.320830902406568
E23000002,Cumbria,2017,7.592805290161683
E23000002,Cumbria,2018,9.697471613079909
E23000002,Cumbria,2019,12.241455454565896
E23000002,Cumbria,2020,11.607968950031003
E23000002,Cumbria,2021,10.282096761966036
E23000002,Cumbria,2022,12.38428509973151
E23000002,Cumbria,2023,12.982145094744348
E23000005,Greater Manchester,2003,27.73845135529466
E23000005,Greater Manchester,2004,25.671457996071922
E23000005,Greater Manchester,2005,21.150364575044954
E23000005,Greater Manchester,2006,19.835567204586784
E23000005,Greater Manchester,2007,19.511515923277205
E23000005,Greater Manchester,2008,17.407131419198752
E23000005,Greater Manchester,2009,16.94095913759605
E23000005,Greater Manchester,2010,15.081961081896479
E23000005,Greater Manchester,2011,13.547941610832689
E23000005,Greater Manchester,2012,11.868061737137351
E23000005,Greater Manchester,2013,11.400044265380084
E23000005,Greater Manchester,2014,11.669434824956095
E23000005,Greater Manchester,2015,13.42447398587696
E23000005,Greater Manchester,2016,14.667223185734398
E23000005,Greater Manchester,2017,16.674535918111584
E23000005,Greater Manchester,2018,23.100743891347097
E23000005,Greater Manchester,2019,22.805485900930453
E23000005,Greater Manchester,2020,20.639463686511967
E23000005,Greater Manchester,2021,18.69121510587811
E23000005,Greater Manchester,2022,22.907741472172134
E23000005,Greater Manchester,2023,23.348777446073132
